id,contract_file,vulnerability,function_name,function_code,dataset
0,01b23286ff60a543ec29366ae8d6b6274ca20541,Timestamp-Dependency,_isLocked,"    function _isLocked(address account, uint256 amount) internal view returns(bool) {
        return _lockAmounts[account] != 0 &&
            _lockTimes[account] > block.timestamp &&
            (
                balanceOf(account) <= _lockAmounts[account] ||
                balanceOf(account).sub(_lockAmounts[account]) < amount
            );
    }",slither_audited
1,01b23286ff60a543ec29366ae8d6b6274ca20541,Timestamp-Dependency,setLock,"    function setLock(address account, uint256 releaseTime, uint256 amount) onlyOwner public {
        require(block.timestamp < releaseTime, ""ERC20 : Current time is greater than release time"");
        require(amount != 0, ""ERC20: Amount error"");
        _lockTimes[account] = releaseTime;
        _lockAmounts[account] = amount;
        emit LockChanged(account, releaseTime, amount);
    }",slither_audited
2,053889176621886e8ca98F349C1DEeB3612D2960,Timestamp-Dependency,queueTransaction,"    function queueTransaction(
        address target,
        uint256 value,
        string memory signature,
        bytes memory data,
        uint256 eta
    )
    public
    returns(bytes32)
    {
        require(msg.sender == admin, ""Timelock::queueTransaction: Call must come from admin."");
        require(eta >= getBlockTimestamp().add(delay), ""Timelock::queueTransaction: Estimated execution block must satisfy delay."");
        bytes32 txHash = keccak256(abi.encode(target, value, signature, data, eta));
        queuedTransactions[txHash] = true;
        emit QueueTransaction(txHash, target, value, signature, data, eta);
        return txHash;
    }",slither_audited
3,053889176621886e8ca98F349C1DEeB3612D2960,Timestamp-Dependency,executeTransaction,"    function executeTransaction(
        address target,
        uint256 value,
        string memory signature,
        bytes memory data,
        uint256 eta
    )
    public
    payable
    returns(bytes memory)
    {
        require(msg.sender == admin, ""Timelock::executeTransaction: Call must come from admin."");
        bytes32 txHash = keccak256(abi.encode(target, value, signature, data, eta));
        if (admin_initialized) {
            require(queuedTransactions[txHash], ""Timelock::executeTransaction: Transaction hasn't been queued."");
            require(getBlockTimestamp() >= eta, ""Timelock::executeTransaction: Transaction hasn't surpassed time lock."");
            require(getBlockTimestamp() <= eta.add(GRACE_PERIOD), ""Timelock::executeTransaction: Transaction is stale."");
            queuedTransactions[txHash] = false;
        }
        bytes memory callData;
        if (bytes(signature).length == 0) {
            callData = data;
        } else {
            callData = abi.encodePacked(bytes4(keccak256(bytes(signature))), data);
        }
        (bool success, bytes memory returnData) = target.call.value(value)(callData);
        require(success, ""Timelock::executeTransaction: Transaction execution reverted."");
        emit ExecuteTransaction(txHash, target, value, signature, data, eta);
        return returnData;
    }",slither_audited
4,0f867d7aff21c601c046a1a6a21f355b1935749e,Re-entrancy,injectReward,"    function injectReward(uint256 amount) external onlyOwner {
        token.transferFrom(msg.sender, address(this), amount);
        reward = reward.add(amount);
        emit InjectReward(amount);
    }",slither_audited
5,0f867d7aff21c601c046a1a6a21f355b1935749e,Re-entrancy,_abnormalRedeem,"    function _abnormalRedeem(uint256 coinAmount, address receiver) internal {
        require(esm.isClosed(), ""System not Closed yet."");
        address from = msg.sender;
        require(coinAmount > 0, ""The quantity is less than zero"");
        require(coin.balanceOf(from) > 0, ""The coin no balance."");
        require(coinAmount <= coin.balanceOf(from), ""Coin balance exceed"");
        uint256 tokenAmount = getInputToken(coinAmount);
        coin.burn(from, coinAmount);
        token.transfer(receiver, tokenAmount);
        totalCoin = totalCoin.sub(coinAmount);
        totalToken = totalToken.sub(tokenAmount);
        emit RedeemEvent(tokenAmount, tokenAmount, 0, coinAmount);
    }",slither_audited
6,0f867d7aff21c601c046a1a6a21f355b1935749e,Re-entrancy,_normalRedeem,"    function _normalRedeem(uint256 coinAmount, address receiver)
    internal
    notClosed
    {
        require(!esm.isRedeemPaused(), ""Redeem paused"");
        address staker = msg.sender;
        require(coins[staker] > 0, ""No collateral"");
        require(coinAmount > 0, ""The quantity is less than zero"");
        require(coinAmount <= coins[staker], ""input amount overflow"");
        accuredToken(staker);
        uint256 tokenAmount = getInputToken(coinAmount);
        uint256 feeRate = params.feeRate();
        uint256 fee = tokenAmount.mul(feeRate).div(1000);
        uint256 move = tokenAmount.sub(fee);
        sFee = sFee.add(fee);
        token.transfer(blackhole, fee);
        coin.burn(staker, coinAmount);
        token.transfer(receiver, move);
        coins[staker] = coins[staker].sub(coinAmount);
        tokens[staker] = tokens[staker].sub(tokenAmount);
        totalCoin = totalCoin.sub(coinAmount);
        totalToken = totalToken.sub(tokenAmount);
        emit RedeemEvent(tokenAmount, move, fee, coinAmount);
    }",slither_audited
7,0f867d7aff21c601c046a1a6a21f355b1935749e,Re-entrancy,stake,"    function stake(uint256 coinAmount) external notClosed {
        require(!esm.isStakePaused(), ""Stake paused"");
        require(coinAmount > 0, ""The quantity is less than the minimum"");
        require(orcl.val() > 0, ""Oracle price not initialized."");
        require(params.isNormal(orcl.val()), ""Oin's price is too low."");
        address from = msg.sender;
        if (coins[from] == 0) {
            require(
                coinAmount >= params.minMint(),
                ""First make coin must grater than 100.""
            );
        }
        accuredToken(from);
        uint256 tokenAmount = getInputToken(coinAmount);
        token.transferFrom(from, address(this), tokenAmount);
        coin.mint(from, coinAmount);
        totalCoin = totalCoin.add(coinAmount);
        totalToken = totalToken.add(tokenAmount);
        coins[from] = coins[from].add(coinAmount);
        tokens[from] = tokens[from].add(tokenAmount);
        emit StakeEvent(tokenAmount, coinAmount);
    }",slither_audited
8,0f867d7aff21c601c046a1a6a21f355b1935749e,Re-entrancy,claimToken,"    function claimToken(address holder) public {
        accuredToken(holder);
        StakerState storage stakerState = stakerStates[holder];
        uint256 value = stakerState.reward.min(reward);
        require(value > 0, ""The reward of address is zero."");
        token.transfer(holder, value);
        reward = reward.sub(value);
        stakerState.index = rewardState.index;
        stakerState.reward = stakerState.reward.sub(value);
        emit ClaimToken(holder, value);
    }",slither_audited
9,0f867d7aff21c601c046a1a6a21f355b1935749e,Re-entrancy,extractReward,"    function extractReward(address account, uint256 amount) external onlyOwner {
        require(amount <= reward, ""withdraw overflow."");
        token.transfer(account, amount);
        reward = reward.sub(amount);
        emit ExtractReward(account, amount);
    }",slither_audited
